ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: woodmart_sguide_select,Meta: woodmart_total_stock_quantity,Meta: _product_360_image_gallery,Meta: additional_information,Meta: _additional_information,Meta: slide_template,Meta: rs_page_bg_color,Meta: _woodmart_whb_header,Meta: _woodmart_main_layout,Meta: _woodmart_sidebar_width,Meta: _woodmart_custom_sidebar,Meta: _woodmart_product_design,Meta: _woodmart_single_product_style,Meta: _woodmart_thums_position,Meta: _woodmart_product-background,Meta: _woodmart_extra_content,Meta: _woodmart_extra_position,Meta: _woodmart_product_custom_tab_title,Meta: _woodmart_product_custom_tab_content,Meta: _woodmart_swatches_attribute,Meta: _woodmart_product_video,Meta: _woodmart_product_hashtag,Meta: _wpb_vc_js_status,Meta: _custom_avi,Meta: variation_title,Meta: _oembed_ce73ee0700c811af4d36d3f51d04b2d6,Meta: _oembed_time_ce73ee0700c811af4d36d3f51d04b2d6,Meta: _oembed_a8e66b5a09f9fc4ffd30d162df564537,Meta: _oembed_time_a8e66b5a09f9fc4ffd30d162df564537,Meta: _oembed_2946ab277bf346d6921be83c6f43df2e,Meta: _oembed_time_2946ab277bf346d6921be83c6f43df2e,Meta: _oembed_d5200fee81c86efebf561929a0eecd13,Meta: _oembed_time_d5200fee81c86efebf561929a0eecd13,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 2 default,Attribute 3 default,Meta: _woodmart_new_label_date,Attribute 1 default,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global
4510,simple,WL,Working Lead 3 Pin 2 Core 3 Metres for Power Tool,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.4,Plug &amp; Socket > Extension Lead,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/12/1NGUR9594.png, https://www.sparkymall.com.au/wp-content/uploads/2020/12/2GOKZ9292.png",,,,,,,,,0,Amp,10A,1,1,Color,White,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Leads</td></tr><tr><th>Name</th><td>Three pin two core working/repair lead</td></tr><tr><th>Model</th><td>WL, FP2HOR</td></tr><tr><th>Power current</th><td>A.C.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>250V</td></tr><tr><th>Plug re-wirable</th><td>No</td></tr><tr><th>Color</th><td>Grey, orange</td></tr><tr><th>Pin</th><td>3</td></tr><tr><th>Pin Type</th><td>Flat pin</td></tr><tr><th>Core standard</th><td>V-75 2*1.0mm2</td></tr><tr><th>Core length</th><td>3 metres</td></tr></tbody></table>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,8630,,"<iframe title=""Transco Slim Line Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/tTi622xm0bE?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782574,"<iframe title=""Transco Edgeless Glass Look Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/AZh5tSCq1NU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782575,"<iframe title=""Transco IP65 Weatherproof Outlet"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/CG2JakfdGl4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782575,"<iframe title=""Transco Fast Connect Socket TransFast"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/EEsRvKLjw38?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782578,,,,,,,,,,,,,,,,,
4511,simple,EP/R,Rewirable Extension Plug 3 Pin 10A with Round Earth,1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,8.8,Plug &amp; Socket > Extension Plug,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1975.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1969.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1970.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1973.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1974.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1967.jpg",,,,,,,,,0,Amp,10A,1,1,Color,Clear,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>three pin rewire-able plug top round earth</td></tr><tr><th>Model</th><td>EPR</td></tr><tr><th>Power current</th><td>A.C.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>240V</td></tr><tr><th>Color</th><td>Clear</td></tr><tr><th>Pin</th><td>3 pins (1xactive, neutral, earth)</td></tr><tr><th>Earth pin</th><td>Round</td></tr><tr><th>Cable accomodated</th><td>1mm x 3</td></tr><tr><th>Assembly arrangement</th><td>Unassembled</td></tr><tr><th>Wiring </th><td>Rewirable</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,0,after,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
4512,simple,EPT,Rewirable Extension Plug 2 Pin Polarised Plug 15-32A 32V,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,Plug &amp; Socket > Extension Plug,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1958.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1959.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1961.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A19631.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1963.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1965.jpg",,,,,,,,,0,Amp,10A,1,1,Color,Clear,1,1,,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>Two pin polarised plug top </td></tr><tr><th>Model</th><td>EPT</td></tr><tr><th>Power current</th><td>A.C.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>32V</td></tr><tr><th>Color</th><td>Clear</td></tr><tr><th>Cable accomodated</th><td>1mm x 2</td></tr><tr><th>Assembly arrangement</th><td>Unassembled</td></tr><tr><th>Wiring </th><td>Rewirable</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table>",,,,,,,,,,,,,,,,,,,,"3584,3585,3579,3580,3582",,,,,,,,,,,,,,,,,,,,,,,,,,
4513,simple,EP4,Rewirable Extension Plug 4 Pin 500V 439/4 Pin Configuration,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11,Plug &amp; Socket > Extension Plug,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1964.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1958.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1959.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1961.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A19631.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1963.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/02/U9A1965.jpg",,,,,,,,,0,Amp,10A,1,1,Color,Clear,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>Four pin plug top</td></tr><tr><th>Model</th><td>EP4</td></tr><tr><th>Power current</th><td>A.C.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>500V</td></tr><tr><th>Frequency range</th><td>50Hz</td></tr><tr><th>Color</th><td>Clear</td></tr><tr><th>Pin</th><td>4 pins (2xactive, neutral, earth)</td></tr><tr><th>Earth pin</th><td>Flat</td></tr><tr><th>Cable accomodated</th><td>1mm x 4</td></tr><tr><th>Assembly arrangement</th><td>Unassembled</td></tr><tr><th>Wiring </th><td>Rewirable</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""https://www.sparkymall.com.au/wp-content/uploads/import/01584336822.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,,,"<iframe title=""Transco Slim Line Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/tTi622xm0bE?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608721882,"<iframe title=""Transco Edgeless Glass Look Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/AZh5tSCq1NU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608721883,"<iframe title=""Transco IP65 Weatherproof Outlet"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/CG2JakfdGl4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608721884,"<iframe title=""Transco Fast Connect Socket TransFast"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/EEsRvKLjw38?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608721885,,,,,,,,,,,,,,,,,
4514,simple,PS,Pedant Socket Double Pole Suspension Switched 10A,1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,19.8,Plug &amp; Socket > Extension Socket,Double Pole,,"https://www.sparkymall.com.au/wp-content/uploads/2020/02/PS_1.png, https://www.sparkymall.com.au/wp-content/uploads/2020/02/PS_2.png",,,,,,,,,0,Amp,10A,1,1,Color,White,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Powerclip Series</td></tr><tr><th>Name</th><td>Suspended switched socket</td></tr><tr><th>Model</th><td>PS</td></tr><tr><th>Power current</th><td>a.c.</td></tr><tr><th>Power phase</th><td>Single </td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>240V</td></tr><tr><th>Material of cover/body</th><td>Impact-resistant polycarbonate</td></tr><tr><th>Color</th><td>Electrical white</td></tr><tr><th>Number of switch pole</th><td>Single</td></tr><tr><th>Number of socket gang</th><td>1</td></tr><tr><th>Number of socket outlet</th><td>1</td></tr><tr><th>Pin</th><td>3 pins (active, neutral, earth)</td></tr><tr><th>Earth pin</th><td>Flat</td></tr><tr><th>Cable connector</th><td>Copper ferrule x3</td></tr><tr><th>Cable accomodated</th><td>1.5/2.5mm x3</td></tr><tr><th>Size</th><td>W49mmxL118mmxD49mm</td></tr><tr><th>On wall mounting</th><td>Horizontal</td></tr><tr><th>Made in accordance with </th><td>AS/NZS3100, AS/NZS3112 and AS/NZS3133</td></tr><tr><th>Schematic wiring diagram</th><td></td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""https://www.sparkymall.com.au/wp-content/uploads/import/01584337081.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,,,"<iframe title=""Transco Slim Line Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/tTi622xm0bE?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608792827,"<iframe title=""Transco Edgeless Glass Look Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/AZh5tSCq1NU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608792827,"<iframe title=""Transco IP65 Weatherproof Outlet"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/CG2JakfdGl4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608792828,"<iframe title=""Transco Fast Connect Socket TransFast"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/EEsRvKLjw38?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608792828,,,,,,,,,,,,,,,,,
4515,simple,SS,Surface Socket with Backing Plate 10A,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1.35,Plug &amp; Socket > Surface Socket,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/12/CBMW3768.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/DMCT1612.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/GAEU8497.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/GWWC1113.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/VWEC8860.jpg",,,,,,,,,0,Amp,10A,1,1,Color,White,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>Surface socket</td></tr><tr><th>Model</th><td>SS</td></tr><tr><th>Power current</th><td>a.c.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>240V</td></tr><tr><th>Frequency range</th><td>50Hz</td></tr><tr><th>Cover</th><td>Complete housing and backing plate</td></tr><tr><th>Mounting method</th><td>Surface mounted</td></tr><tr><th>Type of fastening</th><td>Mounting with screw</td></tr><tr><th>Mounting centre</th><td>50mm</td></tr><tr><th>Material of cover/body</th><td>Impact-resistant polycarbonate</td></tr><tr><th>Color</th><td>Electrical white</td></tr><tr><th>Pin</th><td>3 pins (active, neutral, earth)</td></tr><tr><th>Earth pin</th><td>Flat</td></tr><tr><th>Cable accomodated</th><td>1.5/2.5mm x 4</td></tr><tr><th>Size</th><td>W65mmxL65mmxD37mm</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""https://www.sparkymall.com.au/wp-content/uploads/import/01584337986.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,"8613,8614,8615,8616",,"<iframe title=""Transco Slim Line Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/tTi622xm0bE?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782574,"<iframe title=""Transco Edgeless Glass Look Outlet and Switch"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/AZh5tSCq1NU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782575,"<iframe title=""Transco IP65 Weatherproof Outlet"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/CG2JakfdGl4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782578,"<iframe title=""Transco Fast Connect Socket TransFast"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/EEsRvKLjw38?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1608782580,,,,,,,,,,,,,,,,,
4517,simple,SSF,Surface Socket Flush Mount,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3.5,Plug &amp; Socket > Surface Socket,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/12/1CGWC0497.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/2KKIG0673.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/EEVH3933.jpg",,,,,,,,,0,Amp,10A,1,1,Color,White,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>Surface socket flush</td></tr><tr><th>Model</th><td>SSF</td></tr><tr><th>Power current</th><td>a.c.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>240V</td></tr><tr><th>Frequency range</th><td>50Hz</td></tr><tr><th>Mounting method</th><td>Recessed mounted</td></tr><tr><th>Type of fastening</th><td>Mounting with screw</td></tr><tr><th>Mounting centre</th><td>50mm</td></tr><tr><th>Material of cover/body</th><td>Impact-resistant polycarbonate</td></tr><tr><th>Color</th><td>Electrical white</td></tr><tr><th>Pin</th><td>3 pins (active, neutral, earth)</td></tr><tr><th>Earth pin</th><td>Flat</td></tr><tr><th>Cable accomodated</th><td>1.5/2.5mm x 4</td></tr><tr><th>Size</th><td>W65mmxL65mmxD13mm</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""https://www.sparkymall.com.au/wp-content/uploads/import/01584338780.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,"86,238,624",,,,,,,,,,,,,,,,,,,,,,,,,,
4518,simple,SSF/R,Surface Socket Flush Mount with Round Earth,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.5,Plug &amp; Socket > Surface Socket,,,https://www.sparkymall.com.au/wp-content/uploads/2020/02/SSFR.png,,,,,,,,,0,Amp,10A,1,1,Color,White,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>Surface socket round pin flush </td></tr><tr><th>Model</th><td>SSF</td></tr><tr><th>Power current</th><td>a.c.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>240V</td></tr><tr><th>Frequency range</th><td>50Hz</td></tr><tr><th>Mounting method</th><td>Recessed mounted</td></tr><tr><th>Type of fastening</th><td>Mounting with screw</td></tr><tr><th>Mounting centre</th><td>50mm</td></tr><tr><th>Material of cover/body</th><td>Impact-resistant polycarbonate</td></tr><tr><th>Color</th><td>Electrical white</td></tr><tr><th>Pin</th><td>3 pins (active, neutral, earth)</td></tr><tr><th>Earth pin</th><td>Round</td></tr><tr><th>Cable accomodated</th><td>1.5/2.5mm x 4</td></tr><tr><th>Size</th><td>W65mm x L65mm x D13mm</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
4519,simple,SSD,Surface Socket Double Outlet 10A,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.4,Plug &amp; Socket > Surface Socket,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/12/1YIGW0885.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/2FYZB0845.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/IVOV1783.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/RZWI1282.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/XAJR4594.jpg",,,,,,,,,0,Amp,10A,1,1,Color,White,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>Surface socket double outlet</td></tr><tr><th>Model</th><td>SSD</td></tr><tr><th>Power current</th><td>a.c.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>240V</td></tr><tr><th>Frequency range</th><td>50Hz</td></tr><tr><th>Cover</th><td>Complete housing</td></tr><tr><th>Mounting method</th><td>Surface mounted</td></tr><tr><th>Type of fastening</th><td>Mounting with screw</td></tr><tr><th>Mounting centre</th><td>50mm</td></tr><tr><th>Material of cover/body</th><td>Impact-resistant polycarbonate</td></tr><tr><th>Color</th><td>Electrical white</td></tr><tr><th>Pin</th><td>3 pins (active, neutral, earth)</td></tr><tr><th>Earth pin</th><td>Flat</td></tr><tr><th>Cable accomodated</th><td>1.5/2.5mm x 3</td></tr><tr><th>Size</th><td>W65mmxL73mmxD66mm</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""https://www.sparkymall.com.au/wp-content/uploads/import/01584338699.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,"8618,8619,8620,8621",,,,,,,,,,,,,,,,,,,,,,,,,,
4521,simple,SSP,Surface Socket Polarised 32V,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,7.2,Plug &amp; Socket > Surface Socket,,,"https://www.sparkymall.com.au/wp-content/uploads/2020/12/CUYE9174.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/HDMS0917.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/TRRS7567.jpg, https://www.sparkymall.com.au/wp-content/uploads/2020/12/TZSM1499.jpg",,,,,,,,,0,Amp,10A,1,1,Color,White,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>Socket and plug</td></tr><tr><th>Name</th><td>Polarized socket</td></tr><tr><th>Model</th><td>SSP</td></tr><tr><th>Power current</th><td>a.c.</td></tr><tr><th>Rating</th><td>10A</td></tr><tr><th>Volt</th><td>32V</td></tr><tr><th>Frequency range</th><td>50Hz</td></tr><tr><th>Cover</th><td>Complete housing</td></tr><tr><th>Mounting method</th><td>Surface mounted</td></tr><tr><th>Type of fastening</th><td>Mounting with screw</td></tr><tr><th>Mounting centre</th><td>35mm</td></tr><tr><th>Material of cover/body</th><td>Impact-resistant polycarbonate</td></tr><tr><th>Color</th><td>Electrical white</td></tr><tr><th>Pin</th><td>2</td></tr><tr><th>Earth pin</th><td>Flat</td></tr><tr><th>Cable accomodated</th><td>1.5mm x 2</td></tr><tr><th>Size</th><td>47mm&empty; x 27mmH</td></tr><tr><th>Connector</th><td>Screwing copper ferrule</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""https://www.sparkymall.com.au/wp-content/uploads/import/01584338894.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,"862,686,278,628",,,,,,,,,,,,,,,,,,,,,,,,,,
