mil,(ImgNote),(ImgFolder),Xnote,Xcode,Xparent,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: woodmart_sguide_select,Meta: woodmart_total_stock_quantity,Meta: _product_360_image_gallery,Meta: additional_information,Meta: _additional_information,Meta: slide_template,Meta: rs_page_bg_color,Meta: _woodmart_whb_header,Meta: _woodmart_main_layout,Meta: _woodmart_sidebar_width,Meta: _woodmart_custom_sidebar,Meta: _woodmart_product_design,Meta: _woodmart_single_product_style,Meta: _woodmart_thums_position,Meta: _woodmart_product-background,Meta: _woodmart_extra_content,Meta: _woodmart_extra_position,Meta: _woodmart_product_custom_tab_title,Meta: _woodmart_product_custom_tab_content,Meta: _woodmart_swatches_attribute,Meta: _woodmart_product_video,Meta: _woodmart_product_hashtag,Meta: _wpb_vc_js_status,Meta: _custom_avi,Meta: variation_title,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 2 default,Attribute 3 default,Attribute 1 default,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global
c,"move 1xx, 2xx to front",66C310,"img, (to add img), [to set img order]",66C310,66C310,5660,variation,,IP66 3 Flat Pin Isolator Switched Outlet Combination Industrial Switchgear 240V - 10A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27.5,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg,  http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C310,,,,,,1,Amp,10A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,95,55,95,65,95,75,950",IP66 3 Flat Pin Isolator Switched Outlet Combination Industrial Switchgear 240V - 10A,,,,,,,,,,,,,,,,
c,"move 1xx, 2xx to front",66C315,"img, (to add img), [to set img order]",66C315,66C310,5804,variation,66C315,IP66 3 Flat Pin Isolator Switched Outlet Combination Industrial Switchgear 240V - 15A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27.5,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg,  http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C310,,,,,,0,Amp,15A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,02,26,02,35,95,55,950",IP66 3 Flat Pin Isolator Switched Outlet Combination Industrial Switchgear 240V - 15A,,,,,,,,,,,,,,,,
c,"move 1xx, 2xx to front",66C320,"img, (to add img), [to set img order]",66C320,66C310,5805,variation,66C320,IP66 3 Flat Pin Isolator Switched Outlet Combination Industrial Switchgear 240V - 20A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27.5,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg,  http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C310,,,,,,0,Amp,20A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,02,56,02,66,02,76,02,00,000",IP66 3 Flat Pin Isolator Switched Outlet Combination Industrial Switchgear 240V - 20A,,,,,,,,,,,,,,,,
c,"variable photos - 1xx, 2xx in 66C310",,"img, [to set variable img], brand",,66C310,5652,variable,66C310,IP66 3 Flat Pin Isolator Switched Outlet Combination Industrial Switchgear 240V,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,IP66 Industrial > IP66 Switched Combination,Weatherproof,,,,,,,,,,,0,Amp,"10A, 15A, 20A",1,1,Brand,Industrial,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""> <tbody> <tr> <th>Brand</th> <td>Transco</td> </tr> <tr> <th>Category</th> <td>IP66 Industrial Series</td> </tr> <tr> <th>Name</th> <td>Three pin switched socket combo</td> </tr> <tr> <th>Model</th> <td>66C310, 66C315, 66C320</td> </tr> <tr> <th>Power current</th> <td>A.C.</td> </tr> <tr> <th>Rating</th> <td>10A, 15A, 20A</td> </tr> <tr> <th>Volt</th> <td>240V</td> </tr> <tr> <th>IP Rating</th> <td>66</td> </tr> <tr> <th>Material</th> <td>Impact polycarbonate</td> </tr> <tr> <th>UV Resistant</th> <td>Yes</td> </tr> <tr> <th>Color</th> <td>Grey</td> </tr> <tr> <th>Pin</th> <td>3 pins (active, neutral, earth)</td> </tr> <tr> <th>Pin Type</th> <td>Flat pin</td> </tr> <tr> <th>Cable entries</th> <td>Top 25mmx2, Back 25mmx2</td> </tr> <tr> <th>Poles description</th> <td>1P + N + E</td> </tr> <tr> <th>Switch lockable</th> <td>Yes</td> </tr> <tr> <th>Number of power socket outlets</th> <td>1 protective cover</td> </tr> <tr> <th>Cable accomodated</th> <td>6mm x 3</td> </tr> <tr> <th>Unit size</th> <td>W102mm x L190mm x D77mm</td> </tr> <tr> <th>Compliance</th> <td>AS 60529:2004/NZS IEC 60947.1:2015 Annex C,<br /> AS/NZS 3121:2002 : AS/NZS 3100:2009+A1-A4</td> </tr> </tbody> </table> <div class=""ai_imgs""> <div class=""ai_img""><img src=""http://aaronknightdev.com/ecommerce/wp-content/uploads/import/01594010988.png"" /></div> </div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,0,after,,,,,,FALSE,,,,,,,,,,,,,10A,,,,,
c,,66C410,"img, (to add img)",66C410,66C410,5661,variation,,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 10A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37.5,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1764-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1765-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6734.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C410,,,,,,0,Amp,10A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,96,05,96,16,03,16,030",IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 10A,,,,,,,,,,,,,,,,
c,move 1PISV6597 to front as 1st image,66C420,"img, (to add img), [to set img order]",66C420,66C410,5806,variation,66C420,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 20A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6733.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6734.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6736.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C410,,,,,,0,Amp,20A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,03,16,03,26,03,36,030",IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 20A,,,,,,,,,,,,,,,,
c,,66C432,"img, (to add img)",66C432,66C410,5807,variation,66C432,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 32A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46.2,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1771-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1772-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6734.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6736.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C410,,,,,,0,Amp,32A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,03,66,03,76,03,16,030",IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 32A,,,,,,,,,,,,,,,,
c,"move 1xx, 2xx to front",66C440,"img, (to add img), [to set img order]",66C440,66C410,5808,variation,66C440,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 40A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49.5,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6734.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6736.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C410,,,,,,4,Amp,40A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 40A,,,,,,,,,,,,,,,,
unpub,,,"unpublish+OOS, img",66C450,66C410,5809,variation,66C450,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 50A,0,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,52.8,,,,,,,66C410,,,,,,0,Amp,50A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 50A,,,,,,,,,,,,,,,,
c,,,brand,,66C410,5653,variable,66C410,IP66 4 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,IP66 Industrial > IP66 Switched Combination,Weatherproof,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1764-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1765-scaled.jpg",,,,,,,,,0,Amp,"10A, 20A, 32A, 40A, 50A",1,1,Brand,Industrial,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>IP66 Industrial Series</td></tr><tr><th>Name</th><td>Four pin switched socket combo</td></tr><tr><th>Model</th><td>66C410, 66C420, 66C432, 66C440, 66C450</td></tr><tr><th>Power current</th><td>A.C.</td></tr><tr><th>Rating</th><td>10A, 20A, 32A, 40A, 50A</td></tr><tr><th>Volt</th><td>500V</td></tr><tr><th>IP Rating</th><td>66</td></tr><tr><th>Material </th><td>Impact polycarbonate</td></tr><tr><th>UV Resistant </th><td>Yes</td></tr><tr><th>Color</th><td>Grey</td></tr><tr><th>Pin</th><td>4 pins (2xactive, neutral, earth)</td></tr><tr><th>Pin Type</th><td>Round pin</td></tr><tr><th>Cable entries</th><td>Top 25mmx2, Back 25mmx2</td></tr><tr><th>Poles description </th><td>2P + N + E</td></tr><tr><th>Switch lockable </th><td>Yes</td></tr><tr><th>Number of power socket outlets</th><td>1 protective cover</td></tr><tr><th>Cable accomodated</th><td>6mm x 4</td></tr><tr><th>Unit size</th><td>W102mmxL190mmxD77mm</td></tr><tr><th>Compliance</th><td>AS 60529:2004/NZS IEC 60947.1:2015 Annex C,<br />AS/NZS 3121:2002 : AS/NZS 3100:2009+A1-A4</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""http://aaronknightdev.com/ecommerce/wp-content/uploads/import/01594011144.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,0,after,,,,,,FALSE,,,,,,,,,,,,,10A,,,,,
